发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;主题相似度;标记
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;墨香破天一简;其他;6个回复 只看到三条;2023-09-13 00:04:56;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;在树下荡着小秋千;其他;回复@李成41195:辛苦了，还在洗[鼓掌];2023-09-13 00:02:38;13;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;89;踏雾-wl;其他;回复@李成41195:污水和废水不一样好吧，多读读书;2023-09-12 23:52:59;14;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;38;嗯珉卡都好储的亲爹;江苏;@日本国驻华大使馆 你们怕什么？[挖鼻];2023-09-12 23:19:10;166;0.0481844304403463;0
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;38;A水源头;上海;让小鬼子的驻华大使回去喝核污水吧！;2023-09-14 03:28:17;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;38;你的昵称涉嫌违规;内蒙古;回复@丶惊了个呆:这要抗日战争的时候，你已经被暗杀了，知足吧[doge];2023-09-13 16:42:05;1;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;38;丶惊了个呆;重庆;鬼子大使馆两年前就把我拉黑了[允悲];2023-09-13 13:26:26;4;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;38;haha16945488;广东;你艾特间谍干什么？;2023-09-13 10:50:50;3;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;38;大军5040;其他;他们心里有鬼是明摆着的事，要不也不会舍得花那么多钱洗地了[弱][弱];2023-09-13 07:04:57;5;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;超大1012;上海;我有一点没明白，日本领海不是三海里吗，我们在3.1海里测用他同意？;2023-09-12 23:37:57;10;0.0481844304403463;0
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;627从头再来;其他;回复@吃瓜号11111:是比喻在游泳池里啊，你不担心游泳的时候在便便处喝一口水吗[笑cry];2023-09-13 12:30:45;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;妃飞的围脖;广东;回复@coucou同学:他是就排这一次吗？你往清水里滴一滴墨，可能没什么影响，但是一直滴呢，你那盆水还有的救吗;2023-09-13 10:20:18;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;吃瓜号11111;河南;回复@627从头再来:真要是大便，咱也不用那么担心[泪][泪][泪];2023-09-13 10:05:08;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;潘dt;浙江;回复@coucou同学:这才几天，别人可是要排30多年;2023-09-13 08:43:36;1;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;六十一娘;重庆;三海里或近海检不检测得出来，不是非专业考虑的事，去采样检测了再说，都没开始做的事，就给那么多检测不出来的不利预判，是恐惧/回避/完美主义的思维定式。;2023-09-13 07:39:58;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;627从头再来;其他;要知道大便拉在游泳池了。另外一头水检测也未必超标，但是大便真的不能拉在游泳池了。核污水比大便可怕;2023-09-13 06:27:47;7;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;相信自己就有奇迹;广东;回复@coucou同学:另外，福岛核污染水是排到海底的，那边水深约12米，正好在大陆架边缘，海底洋流复杂，即使中国船只被允许过去，也难以准确取样，远不如在储水罐和排污口取样来得准确。;2023-09-13 03:50:30;5;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;相信自己就有奇迹;广东;回复@coucou同学:你去看看地图，日本只在北边几个海峡将领海缩到三海里，主要是方便美军舰进出。日本怎么可能将领海收缩到3海里，否则哪里还有钓鱼岛之争。同时，你也可以看看福岛的位置。;2023-09-13 03:19:54;2;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;一只大猪脚w0w;广西;回复@coucou同学:日本搞的那个装置处理的根本就不好，处理到一定程度，直接排入海里稀释，这样在3海里外就检测不出来了。;2023-09-13 02:31:22;0;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;一只大猪脚w0w;广西;你以为他为什么要慢慢的排，一天只排几百吨，就是等着流动海水把“处理过”的不符合标准的核废水稀释掉。;2023-09-13 02:28:23;6;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;v菱歌v;辽宁;回复@泓宇无敌吖:不止30年，或许很久，毕竟那个反应堆还在燃烧[并不简单];2023-09-13 00:55:20;4;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;泓宇无敌吖;其他;回复@coucou同学:问题是别人还要排30年[doge];2023-09-13 00:38:51;7;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;小桃可心;其他;回复@coucou同学:他们声称达标那就不一定了。比如标准是1mg每升才能排放。你稀释一下还能知道他是符合排放标准的吗？对你影响不大是建立再以后没再排的前提下。口子一开慢慢的浓度就上来了。;2023-09-13 00:30:06;8;0.0481844304403463;1
帝吧官微;浙江;0;365;254;5191;日本反对他国直接取样独立检测，之前亿还在洗我们“拒绝日本邀请”，这下日本连你直接取样独立检测都不给了。核污水如果在日本本国处理、排放，我们也没必要去关注这些，现在他往太平洋里排，还不给你采集他的核污水样本，这不是心里有鬼是什么呢？;#日本反对他国直接取样独立检测#;5;coucou同学;其他;回复@与尔乘风:那如果3.1海里都檢測不出來 不就對我們影響不大;2023-09-13 00:05:36;1;0.0481844304403463;1
